id,molecularFormula,adduct,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#all classifications,progenesis_id
274_Grantham_HILIC_Consensus_10.008_194.99685_HILIC,C5H8O6S,[M - H]-,Fatty acids,0.5531184077262878,Fatty Acids and Conjugates,0.384845495223999,Dicarboxylic acids,0.24506980180740356,Alkanesulfonic acids,0.9915579557418824,Alkanesulfonic acids and derivatives,0.9822117686271667,Organosulfonic acids and derivatives,0.9882616400718688,Organic sulfonic acids and derivatives,0.9882877469062804,Organic acids and derivatives,0.9999979734420776,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities,10.008_194.99685_HILIC
92_Grantham_HILIC_Consensus_9.997_175.02481_HILIC,C6H8O6,[M - H]-,Carbohydrates,0.8656446933746338,Saccharides,0.9638846516609192,Monosaccharides,0.9454103708267212,Isosorbides,0.8372412323951721,NA,NA,Isosorbides,0.8372412323951721,Furofurans,0.6706036925315857,Organoheterocyclic compounds,0.9994340538978576,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Gamma butyrolactones; Monosaccharides; Secondary alcohols; Furofurans; Carbonyl compounds; Isosorbides; Polyols; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,9.997_175.02481_HILIC
365_Grantham_HILIC_Consensus_3.45_124.9881_HILIC,C5H2O4,[M - H]-,Polyketides,0.5482361912727356,Fatty Acids and Conjugates,0.576578676700592,Tropolones and derivatives (PKS),0.5883514881134033,Vinylogous acids,0.6272650957107544,NA,NA,NA,NA,Vinylogous acids,0.6272650957107544,Organic acids and derivatives,0.9644165635108948,Organic compounds; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Cyclic ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,3.45_124.9881_HILIC
456_Grantham_HILIC_Consensus_6.773_209.00915_HILIC,C9H6O6,[M - H]-,Shikimates and Phenylpropanoids,0.8572280406951904,Phenolic acids (C6-C1),0.8723846077919006,Simple phenolic acids,0.8579673171043396,M-phthalic acid and derivatives,0.5290216207504272,Phthalic acid and derivatives,0.5519921183586121,Benzoic acids and derivatives,0.8813670873641968,Benzene and substituted derivatives,0.9566051363945008,Benzenoids,0.998157560825348,Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Phthalic acid and derivatives; M-phthalic acid and derivatives; Carboxylic acids; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,6.773_209.00915_HILIC
183_Grantham_HILIC_Consensus_1.609_179.07138_HILIC,C8H10N3O2,[M - H]-,Alkaloids,0.5626054406166077,Pseudoalkaloids,0.5404554009437561,Simple phenolic acids,0.03641018643975258,Alkyl-phenylketones,0.8558002710342407,Ketones,0.8502078652381897,Carbonyl compounds,0.7773528099060059,Organooxygen compounds,0.9999723434448242,Organic oxygen compounds,0.9999555349349976,Organic compounds; Organoheterocyclic compounds; Triazoles; Tetrazoles; Ketones; Acetophenones; Alkyl aryl ethers; Ethers; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Azoles; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl ketones; Aryl alkyl ketones; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,1.609_179.07138_HILIC
275_Grantham_HILIC_Consensus_10.217_194.9968_HILIC,C5H8O6S,[M - H]-,Fatty acids,0.5716045498847961,Fatty Acids and Conjugates,0.524685800075531,Monosaccharides,0.3809528648853302,Alkanesulfonic acids,0.9748490452766418,Alkanesulfonic acids and derivatives,0.963625431060791,Organosulfonic acids and derivatives,0.9400084614753724,Organic sulfonic acids and derivatives,0.939898669719696,Organic acids and derivatives,0.9999741315841676,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities,10.217_194.9968_HILIC
1_Grantham_HILIC_Consensus_1.712_181.05053_HILIC,C9H10O4,[M - H]-,Shikimates and Phenylpropanoids,0.7217814326286316,Phenolic acids (C6-C1),0.6419429183006287,Simple phenolic acids,0.6303429007530212,Phenylpropanoic acids,0.9425280690193176,NA,NA,NA,NA,Phenylpropanoic acids,0.9425280690193176,Phenylpropanoids and polyketides,0.8147413730621338,Organic compounds; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanoic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities,1.712_181.05053_HILIC
547_Grantham_HILIC_Consensus_1.357_187.13395_HILIC,C10H20O3,[M - H]-,Fatty acids,0.8443619608879089,Fatty Acids and Conjugates,0.8922988176345825,Hydroxy fatty acids,0.935722291469574,Medium-chain hydroxy acids and derivatives,0.7880086898803711,NA,NA,Medium-chain hydroxy acids and derivatives,0.7880086898803711,Hydroxy acids and derivatives,0.8772514462471008,Organic acids and derivatives,0.9977719187736512,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,1.357_187.13395_HILIC
366_Grantham_HILIC_Consensus_2.715_249.02102_HILIC,C6H10N2O2P2,[M + CH2O2 - H]-,Alkaloids,0.6710907220840454,Nicotinic acid alkaloids,0.5882906317710876,Pyridine alkaloids,0.587355375289917,Pyridines and derivatives,0.6142851710319519,NA,NA,NA,NA,Pyridines and derivatives,0.6142851710319519,Organoheterocyclic compounds,0.9535359740257264,Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,2.715_249.02102_HILIC
457_Grantham_HILIC_Consensus_11.3_347.07524_HILIC,C11H17N4O7P,[M - H]-,Carbohydrates,0.8191410303115845,Nucleosides,0.840043306350708,Purine nucleos(t)ides,0.7566901445388794,Purine ribonucleoside monophosphates,0.652033805847168,Purine ribonucleoside monophosphates,0.652033805847168,Purine ribonucleotides,0.4964209198951721,Purine nucleotides,0.7456966638565063,"Nucleosides, nucleotides, and analogues",0.9329392313957214,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Purinones; Diazines; Pentoses; Purine nucleotides; Monosaccharides; Monosaccharide phosphates; Purine ribonucleoside monophosphates; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Pentose phosphates; Polyols; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 1,2-diols; Tetrahydrofurans; Alkyl phosphates; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",11.3_347.07524_HILIC
