id,molecularFormula,adduct,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#all classifications,progenesis_id
616_Grantham_RP_Consensus_2.373_432.17095_RP,C15H29NO13,[M + H]+,Carbohydrates,0.8194540739059448,Saccharides,0.4143494665622711,Disaccharides,0.9855287671089172,Disaccharides,0.95604145526886,Disaccharides,0.95604145526886,Carbohydrates and carbohydrate conjugates,0.9998459815979004,Organooxygen compounds,1,Organic oxygen compounds,1,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",2.373_432.17095_RP
247_Grantham_RP_Consensus_1.111_132.06536_RP,C5H9NO3,[M + H]+,Amino acids and Peptides,0.9753462672233582,Small peptides,0.9857274889945984,Aminoacids,0.8872593641281128,Amino acids,0.8319123387336731,Amino acids and derivatives,0.9268227815628052,"Amino acids, peptides, and analogues",0.9296661019325256,Carboxylic acids and derivatives,0.985727608203888,Organic acids and derivatives,0.9553499817848206,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Keto acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Short-chain keto acids and derivatives; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1.111_132.06536_RP
370_Grantham_RP_Consensus_1.531_118.12246_RP,C6H15NO,[M + H]+,Fatty acids,0.5871078968048096,Fatty acyls,0.8486632108688354,Fatty alcohols,0.6798334717750549,"1,2-aminoalcohols",0.7789574265480042,Alkanolamines,0.9136573672294616,Amines,0.9997021555900574,Organonitrogen compounds,0.999998927116394,Organic nitrogen compounds,0.9999990463256836,"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1.531_118.12246_RP
493_Grantham_RP_Consensus_10.056_251.09117_RP,C13H14O5,[M + H]+,Shikimates and Phenylpropanoids,0.95104718208313,Coumarins,0.550255298614502,Isocoumarins,0.7263517379760742,Benzopyrans,0.914530336856842,NA,NA,NA,NA,Benzopyrans,0.914530336856842,Organoheterocyclic compounds,0.9966326355934144,"Organic compounds; Organoheterocyclic compounds; Lactones; Benzopyrans; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 1,2-diols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities",10.056_251.09117_RP
1_Grantham_RP_Consensus_9.319_291.08599_RP,C15H14O6,[M + H]+,Shikimates and Phenylpropanoids,0.9998326301574708,Flavonoids,0.9996650218963624,Flavan-3-ols,0.999990940093994,Catechins,0.9949710369110109,Flavan-3-ols,0.9943227767944336,Flavans,0.9973164200782776,Flavonoids,0.999110996723175,Phenylpropanoids and polyketides,0.9956362843513488,Organic compounds; Organoheterocyclic compounds; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Ethers; Phenylpropanoids and polyketides; Organooxygen compounds; Flavonoids; Flavans; Benzenediols; Catechins; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; Flavan-3-ols; 1-benzopyrans; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities,9.319_291.08599_RP
124_Grantham_RP_Consensus_10.435_149.05957_RP,C9H8O2,[M + H]+,Shikimates and Phenylpropanoids,0.93859601020813,Phenylpropanoids (C6-C3),0.9440473318099976,Cinnamic acids and derivatives,0.9215586185455322,Cinnamic acids,0.9872748851776124,NA,NA,Cinnamic acids,0.9872748851776124,Cinnamic acids and derivatives,0.6350778937339783,Phenylpropanoids and polyketides,0.8328000903129578,Organic compounds; Styrenes; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Cinnamic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,10.435_149.05957_RP
248_Grantham_RP_Consensus_1.11_132.06535_RP,CH9NO3P,[M + H3N + H]+,Alkaloids,0.815714955329895,Ornithine alkaloids,0.9930559992790222,Polyamines,0.9489585161209106,Organic phosphonic acids,0.8731913566589355,NA,NA,Organic phosphonic acids,0.8731913566589355,Organic phosphonic acids and derivatives,0.9347379207611084,Organic acids and derivatives,0.9788166880607604,Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Monoalkylamines; Organic phosphonic acids; Amines; Primary amines; Organic salts; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,1.11_132.06535_RP
125_Grantham_RP_Consensus_2.05_79.02116_RP,C2H6OS,[M + H]+,Fatty acids,0.7198564410209656,Fatty acyls,0.9763292074203492,Fatty alcohols,0.08872859179973602,Sulfoxides,0.8978920578956604,NA,NA,NA,NA,Sulfoxides,0.8978920578956604,Organosulfur compounds,0.9997021555900574,Organic compounds; Organosulfur compounds; Sulfoxides; Sulfinyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,2.05_79.02116_RP
371_Grantham_RP_Consensus_1.532_101.05958_RP,C5H8O2,[M + H]+,Fatty acids,0.7508137822151184,Monoterpenoids,0.3282635509967804,Lactones,0.4055694043636322,Oxacyclic compounds,0.66792231798172,NA,NA,NA,NA,Oxacyclic compounds,0.66792231798172,Organoheterocyclic compounds,0.7466408610343933,Organic compounds; Organoheterocyclic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,1.532_101.05958_RP
617_Grantham_RP_Consensus_1.968_81.03343_RP,C5H4O,[M + H]+,Shikimates and Phenylpropanoids,0.5100383758544922,Cyclic polyketides,0.1512441784143448,Simple phenolic acids,0.01139077078551054,Aryl-aldehydes,0.9148436784744264,Aldehydes,0.7301647067070007,Carbonyl compounds,0.7270032167434692,Organooxygen compounds,0.9999997615814208,Organic oxygen compounds,1,Organic compounds; Organoheterocyclic compounds; Furans; Aldehydes; Organooxygen compounds; Carbonyl compounds; Aryl-aldehydes; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,1.968_81.03343_RP
249_Grantham_RP_Consensus_1.227_132.06536_RP,C5H9NO3,[M + H]+,Amino acids and Peptides,0.9753462672233582,Small peptides,0.9857274889945984,Aminoacids,0.887259304523468,Amino acids,0.8319119811058044,Amino acids and derivatives,0.926822543144226,"Amino acids, peptides, and analogues",0.9296659231185912,Carboxylic acids and derivatives,0.985727608203888,Organic acids and derivatives,0.95535010099411,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Keto acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Short-chain keto acids and derivatives; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1.227_132.06536_RP
494_Grantham_RP_Consensus_9.826_251.05477_RP,C12H10O6,[M + H]+,Polyketides,0.8216982483863831,Cyclic polyketides,0.4046888053417206,Phthalide derivatives,0.21786080300807953,Catechols,0.5944916009902954,Catechols,0.5944916009902954,Benzenediols,0.4349304437637329,Phenols,0.8414955139160156,Benzenoids,0.9788320064544678,Organic compounds; Organoheterocyclic compounds; Lactones; Phenols; Catechols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities,9.826_251.05477_RP
2_Grantham_RP_Consensus_10.438_226.10713_RP,C11H15NO4,[M + H]+,Alkaloids,0.6431049108505249,Tyrosine alkaloids,0.8390252590179443,Phenylethylamines,0.7388386726379395,Beta amino acids and derivatives,0.5712692737579346,Amino acids and derivatives,0.99044668674469,"Amino acids, peptides, and analogues",0.9903668165206908,Carboxylic acids and derivatives,0.966183066368103,Organic acids and derivatives,0.9636959433555604,"Organic compounds; Amino acids, peptides, and analogues; Phenols; Catechols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Carbonyl compounds; Beta amino acids and derivatives; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Phenylpropanes; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",10.438_226.10713_RP
372_Grantham_RP_Consensus_13.907_217.14326_RP,C11H20O4,[M + H]+,Fatty acids,0.9964993000030518,Fatty esters,0.983983874320984,Wax monoesters,0.9636558890342712,Fatty acid methyl esters,0.9532491564750672,Fatty acid methyl esters,0.9532491564750672,Fatty acid esters,0.9982712268829346,Fatty Acyls,0.999718964099884,Lipids and lipid-like molecules,0.999362051486969,Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty acid methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,13.907_217.14326_RP
250_Grantham_RP_Consensus_1.328_132.06538_RP,C5H9NO3,[M + H]+,Amino acids and Peptides,0.9753462672233582,Small peptides,0.9857274889945984,Aminoacids,0.8872593641281128,Amino acids,0.8319123387336731,Amino acids and derivatives,0.9268227815628052,"Amino acids, peptides, and analogues",0.9296661019325256,Carboxylic acids and derivatives,0.985727608203888,Organic acids and derivatives,0.9553499817848206,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Keto acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Short-chain keto acids and derivatives; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",1.328_132.06538_RP
126_Grantham_RP_Consensus_9.53_317.1018_RP,C17H16O6,[M + H]+,Shikimates and Phenylpropanoids,0.8665684461593628,Flavonoids,0.7236801385879517,Isoflavanones,0.18351635336875916,1-benzopyrans,0.7893133759498596,NA,NA,1-benzopyrans,0.7893133759498596,Benzopyrans,0.6268714070320129,Organoheterocyclic compounds,0.9423325657844543,Organic compounds; Organoheterocyclic compounds; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities,9.53_317.1018_RP
