sample,site,live,treatment,day,date,tube,g peat in tube,pH at sampling,headspace CO2 (ppm),headspace CH4 (ppm)
bog_catechin_day42_A,bog,live,live_cat,42,2/22/22,bog_catechin_A,6.18,3.44,,2.46
bog_catechin_day42_B,bog,live,live_cat,42,2/22/22,bog_catechin_B,6.06,3.41,,3.82
bog_catechin_day42_C,bog,live,live_cat,42,2/22/22,bog_catechin_C,6.14,3.49,9910,
bog_catechin_day42_D,bog,live,live_cat,42,2/22/22,bog_catechin_D,6.04,3.39,20004,
bog_CT_day42_A,bog,live,live_ct,42,2/22/22,bog_CT_A,6.14,3.51,,2.01
bog_CT_day42_B,bog,live,live_ct,42,2/22/22,bog_CT_B,6,3.73,,3.71
bog_CT_day42_C,bog,live,live_ct,42,2/22/22,bog_CT_C,6.05,3.52,3486,
bog_CT_day42_D,bog,live,live_ct,42,2/22/22,bog_CT_D,6.17,3.45,9193,
bog_unamended_day42_A,bog,live,live_unamended,42,2/22/22,bog_unamended_A,6.02,3.72,,4.77
bog_unamended_day42_B,bog,live,live_unamended,42,2/22/22,bog_unamended_B,6.14,3.53,,4.23
bog_unamended_day42_C,bog,live,live_unamended,42,2/22/22,bog_unamended_C,6.17,3.46,11808,
bog_unamended_day42_D,bog,live,live_unamended,42,2/22/22,bog_unamended_D,6.13,3.42,12225,
killed_bog_catechin_day42_A,bog,killed,killed_cat,42,2/22/22,bog_killed.catechin_A,6.16,3.22,,4.64
killed_bog_catechin_day42_B,bog,killed,killed_cat,42,2/22/22,bog_killed.catechin_B,6.06,3.32,,3.07
killed_bog_catechin_day42_C,bog,killed,killed_cat,42,2/22/22,bog_killed.catechin_C,6.1,3.33,35266,
killed_bog_catechin_day42_D,bog,killed,killed_cat,42,2/22/22,bog_killed.catechin_D,6.07,3.36,36488,
killed_bog_CT_day42_A,bog,killed,killed_ct,42,2/22/22,bog_killed.CT_A,6.06,3.34,,3.75
killed_bog_CT_day42_B,bog,killed,killed_ct,42,2/22/22,bog_killed.CT_B,6.01,3.46,,2.86
killed_bog_CT_day42_C,bog,killed,killed_ct,42,2/22/22,bog_killed.CT_C,6.09,3.5,40913,
killed_bog_CT_day42_D,bog,killed,killed_ct,42,2/22/22,bog_killed.CT_D,6.07,3.44,36325,
killed_bog_unamended_day42_A,bog,killed,killed_unamended,42,2/22/22,bog_unamended_CT_A,6.02,3.34,,
killed_bog_unamended_day42_B,bog,killed,killed_unamended,42,2/22/22,bog_unamended_CT_B,6.12,3.3,,3.05
killed_bog_unamended_day42_C,bog,killed,killed_unamended,42,2/22/22,bog_unamended_CT_C,6.13,3.38,42988,
killed_bog_unamended_day42_D,bog,killed,killed_unamended,42,2/22/22,bog_unamended_CT_D,6.12,,,
fen_catechin_day35_A,fen,live,live_cat,35,2/16/22,fen_catechin_A,6.06,4.42,36827,2445
fen_catechin_day35_B,fen,live,live_cat,35,2/16/22,fen_catechin_B,6.03,4.4,41955,2742
fen_catechin_day35_C,fen,live,live_cat,35,2/16/22,fen_catechin_C,6.1,4.45,42105,2717
fen_catechin_day35_D,fen,live,live_cat,35,2/16/22,fen_catechin_D,6.14,4.49,37510,3413
