Compound_ID,Norm. Area: HILIC_Neg_1D0.raw (F125),Norm. Area: HILIC_Neg_2D0.raw (F126),Norm. Area: HILIC_Neg_3D0.raw (F127),Norm. Area: HILIC_Neg_13D0.raw (F134),Norm. Area: HILIC_Neg_14D0.raw (F135),Norm. Area: HILIC_Neg_15D0.raw (F136),Norm. Area: HILIC_Neg_25D14.raw (F143),Norm. Area: HILIC_Neg_26D14.raw (F144),Norm. Area: HILIC_Neg_27D14.raw (F145),Norm. Area: HILIC_Neg_37D14.raw (F152),Norm. Area: HILIC_Neg_38D14.raw (F153),Norm. Area: HILIC_Neg_39D14.raw (F154),Norm. Area: HILIC_Neg_49D21.raw (F161),Norm. Area: HILIC_Neg_50D21.raw (F162),Norm. Area: HILIC_Neg_51D21.raw (F163),Norm. Area: HILIC_Neg_61D35.raw (F170),Norm. Area: HILIC_Neg_62D28.raw (F171),Norm. Area: HILIC_Neg_63D28.raw (F172),Norm. Area: HILIC_Neg_85D28.raw (F188),Norm. Area: HILIC_Neg_86D28.raw (F189),Norm. Area: HILIC_Neg_87D28.raw (F190),Norm. Area: HILIC_Neg_97D42.raw (F197),Norm. Area: HILIC_Neg_98D42.raw (F198),Norm. Area: HILIC_Neg_99D42.raw (F199),Norm. Area: HILIC_Neg_121D7.raw (F215),Norm. Area: HILIC_Neg_122D7.raw (F216),Norm. Area: HILIC_Neg_123D7.raw (F217),Norm. Area: HILIC_Neg_133D7.raw (F224),Norm. Area: HILIC_Neg_134D7.raw (F225),Norm. Area: HILIC_Neg_135D7.raw (F226),Norm. Area: HILIC_Neg_Blank_MS1.raw (F233),Norm. Area: HILIC_Neg_Blank2.raw (F234),Norm. Area: HILIC_Neg_Blank2_MS1.raw (F235),Norm. Area: HILIC_Neg_Blank3.raw (F236),Norm. Area: HILIC_Neg_Blank4.raw (F237),Norm. Area: HILIC_Neg_Pooled_QC1_MS1.raw (F239),Norm. Area: HILIC_Neg_Pooled_QC2_MS1.raw (F240),Norm. Area: HILIC_Neg_Pooled_QC3_MS1.raw (F241),Norm. Area: HILIC_Neg_Pooled_QC4_MS1.raw (F242),Norm. Area: HILIC_Neg_Pooled_QC5_MS1.raw (F243),Norm. Area: HILIC_Neg_Pooled_QC6_MS1.raw (F244),Norm. Area: HILIC_Neg_Pooled_QC7_MS1.raw (F245),Norm. Area: HILIC_Neg_Pooled_QC8_MS1.raw (F246),Norm. Area: HILIC_Neg_Pooled_QC9_MS1.raw (F247),Norm. Area: HILIC_Neg_Pooled_QC10_MS1.raw (F248),Norm. Area: HILIC_Neg_Pooled_QC11_MS1.raw (F249)
1.322_207.06617_HILIC,6260529.899,5699738.958,5689605.101,8146260.083,2136639.582,1862104.871,47500710.86,18743943.79,18486067.99,10967140.88,8158073.421,10411022.5,246961522.9,150229078.3,42939616.35,30563460.77,22288089.82,32182643.44,6745107.488,7779035.329,10790132.97,51383867.1,20508482.91,17476560.46,12099180.88,7327947.578,5341915.555,6662447.341,12797210.59,10946498.28,86348.27274,82747.76196,65545.56119,83474.07848,86953.64954,11811176354,10312400712,10417649592,2817003988,10427251414,9867340778,10269753630,10048412319,9919569465,9743966877,9550882188
1.747_289.07176_HILIC,2604462.001,1831559.61,1213967.666,12824001.62,2238056.923,1403133.258,825285938.2,21406512.29,49570979.02,4738871.487,1929728.819,2950677.289,14917435.07,11344416.76,11146201.8,5562172.315,6310002.963,1810774.467,1771709.002,2167068.075,2940580.347,9393972.727,5486752.602,17878694.25,13059601.6,7324703.733,3924583.782,4649248.753,6985715.611,9791587.952,385996.8314,81647.15399,126208.1141,274106.3008,355149.012,17735612412,14359769927,14527713821,15864459418,15393133453,14636577123,15975925429,15022321893,16015303191,15450914870,16008031641
1.444_165.05565_HILIC,45899187.13,61295091.38,45986328.65,53296066.77,52576240.06,53401994.19,15474109477,11935499003,14334882371,78391384.43,73013098.22,81524535,18749320141,12169265820,10298158547,410961409.4,267481633.4,10362599643,100951120.5,125707909.6,64769879.28,128435013.5,127627054.1,795318192.7,941035010.1,965193611.5,1224412685,93413142.35,110077497.6,108627639.5,47948.6234,69464.48826,64873.00213,81675.07229,81709.9094,1269236778,1092569616,1126794873,1017594168,1187607921,1091380873,1120878298,1210811602,1195761896,1175626301,1086163505
3.666_117.01938_HILIC,2711854395,2999939923,2729840321,1428668370,1008396939,1050752666,526113236.8,579034894.5,488484297.4,1789313043,1826139069,1379283005,457420218.8,467630251.4,402175186.3,578282430.3,488443403.6,522758570.5,718750775,849782850.1,1335721923,118479570,131140833,87562652.79,205765573.6,155251661.7,235718842.5,864783940.1,944940132.6,1090609268,7712895.186,7389297.796,6354103.727,6075934.606,6269743.341,766079448.2,710403132.1,670180590.7,655377204.1,709885717.6,694943286,703525455.1,721003166.7,702105204.3,733287851.5,708937118.8
1.257_121.02956_HILIC,37188612.94,34811765.41,38483875.51,301551990.9,299633483,339936618,26915415.04,31756024.44,32210046.45,134345563.6,314929410.8,386087764.7,35707918.88,60709480.33,40945159.24,37285261.39,45474461.54,26057034.35,82435531.3,177403190.6,81811495.89,40189631.72,28756205.23,28740698.96,24696909.15,19189491.2,17759116.46,477196072.6,339877821.8,362755128,46709.60343,213856.7788,50984.70037,65143.17433,66380.83526,241403907.3,219104079.1,214729863.3,201298058.9,223691125.1,219719702.8,228779920,229628845.1,220151927,229805054.3,218171567.5
1.51_207.06627_HILIC,5937733.757,5410206.324,5404924.21,1715956.394,2042730.896,1781673.939,2731558.002,18075849.27,2166938.739,1641370.792,1897711.378,2359137.674,3546726.571,4232803.126,3020681.653,2623532.341,2701128.926,4854194.57,1883016.641,3738009.931,10837478.65,2184099.706,2188221.866,18703509,12406311.32,7519226.853,5485184.687,2004704.532,2049732.061,1779782.661,79747.52781,109514.4177,103098.657,132504.9413,126249.5931,227163789.5,138030224.4,177161881,178614539.8,190009042.1,164714728.3,168943813.6,178765652.7,173269775.2,197132961.2,179881831.3
2.298_207.06627_HILIC,9664653.035,10473987.89,7275474.117,7496048.392,8445407.616,7805011.353,6458525.994,7074470.443,6796000.863,5506385.107,6687551.786,8869572.196,7053343.747,6911486.362,6984236.735,6822714.729,6755812.162,6477571.162,7030946.353,6921256.797,6402316.971,7661077.774,7505373.313,7783918.337,6266449.461,6312286.457,6474385.077,6855528.495,6944258.145,6107092.703,321212.9957,443798.8172,431601.4638,567666.7957,567476.2875,82956861.38,82839102.66,64345629.23,91314680.07,101821541,41751604.84,76637631.11,97570413.2,80280764.47,94447204.97,67072017.58
1.49_163.04004_HILIC,41363864.38,51504130.06,48750611.76,79413590.79,84189758.33,81358879.57,3454802.632,3034805.642,2962871.989,150070130.8,192717038.3,187268133,4788053.901,2650235.764,3446900.497,1795041.437,1175447.611,1374369.103,51302997.63,60883163.39,150964186.7,11296080.91,8411464.885,7958976.686,3352198.649,2691655.016,2071475.834,179045108.1,280235759.9,292689575.2,52873.82739,69712.44255,64051.21431,79745.98769,83376.87973,202057937.4,182951232.6,183392188.8,187360586.9,187772752.9,179576859.6,184422419.6,185069205.8,187821238.8,191681033.8,196292567.3
1.924_153.0194_HILIC,106487193.6,88870982.13,37311575.28,101351794.8,71416476.58,77762578.45,447365857.7,594898692.9,344447152.4,202928064.6,347489199.3,238100381.5,87644639.51,87645923.06,63004574.41,69977833.37,69209990.58,67027455.14,100322256.6,144746925.9,294494783.7,1369401234,684481559,1115879733,538815278.7,404144180.9,457450308,97569637.84,235987032.7,300810790.4,250821.428,347311.5302,227165.5859,299504.0109,293457.5341,164675575.2,233258234.8,111558891.8,159541584.8,219003143.3,202464117,197546872.8,196862366.2,180483148.2,173730715.3,174523240.8
1.438_207.06621_HILIC,4836836.377,1156860.27,4425084.216,1652942.76,1706848.274,1492545.81,7993877.629,15540689.16,7478698.102,103238199.1,1374198.386,1987759.041,9554080.124,6743444.175,83469218.09,2072938.068,1772775.236,6728433.406,3510084.897,1390601.981,10826912.34,1556322.896,3484451.542,19310839.21,13545117.74,8235597.936,6026943.397,1618106.933,1584099.667,2725696.585,60554.33281,83124.62254,105984.6806,132233.0621,132688.0322,98330663.25,97787596.06,95305635.24,206228788.8,114038743.4,83895581.5,91380254.1,99868003.07,104330135.1,112659514.4,83104035.55
