Sample_Name_Kelly,Filename,Site,Day
STM_0716_E_M_E001,HILIC_Neg_1D0,fen,D0
STM_0716_E_M_E002,HILIC_Neg_2D0,fen,D0
STM_0716_E_M_E003,HILIC_Neg_3D0,fen,D0
STM_0716_S_M_E013,HILIC_Neg_13D0,bog,D0
STM_0716_S_M_E014,HILIC_Neg_14D0,bog,D0
STM_0716_S_M_E015,HILIC_Neg_15D0,bog,D0
STM_0716_E_M_E025,HILIC_Neg_25D14,fen,D14
STM_0716_E_M_E026,HILIC_Neg_26D14,fen,D14
STM_0716_E_M_E027,HILIC_Neg_27D14,fen,D14
STM_0716_S_M_E037,HILIC_Neg_37D14,bog,D14
STM_0716_S_M_E038,HILIC_Neg_38D14,bog,D14
STM_0716_S_M_E039,HILIC_Neg_39D14,bog,D14
STM_0716_E_M_E049,HILIC_Neg_49D21,fen,D21
STM_0716_E_M_E050,HILIC_Neg_50D21,fen,D21
STM_0716_E_M_E051,HILIC_Neg_51D21,fen,D21
STM_0716_E_M_E061,HILIC_Neg_61D35,fen,D35
STM_0716_E_M_E062,HILIC_Neg_62D28,fen,D28
STM_0716_E_M_E063,HILIC_Neg_63D28,fen,D28
STM_0716_S_M_E085,HILIC_Neg_85D28,bog,D28
STM_0716_S_M_E086,HILIC_Neg_86D28,bog,D28
STM_0716_S_M_E087,HILIC_Neg_87D28,bog,D28
STM_0716_S_M_E097,HILIC_Neg_97D42,bog,D42
STM_0716_S_M_E098,HILIC_Neg_98D42,bog,D42
STM_0716_S_M_E099,HILIC_Neg_99D42,bog,D42
STM_0716_E_M_E121,HILIC_Neg_121D7,fen,D7
STM_0716_E_M_E122,HILIC_Neg_122D7,fen,D7
STM_0716_E_M_E123,HILIC_Neg_123D7,fen,D7
STM_0716_S_M_E133,HILIC_Neg_133D7,bog,D7
STM_0716_S_M_E134,HILIC_Neg_134D7,bog,D7
STM_0716_S_M_E135,HILIC_Neg_135D7,bog,D7
