Compound_ID,Name,Formula,Annot. Source: Predicted Compositions,mzCloud Search, mzVault Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],# mzCloud Results,# mzVault Results,mzCloud Best Match,mzCloud Best Match Confidence,mzCloud Best Sim. Match,mzVault Best Match,KEGG ID,mzCloud ID,MS2,Reference Ion
10.382_291.08605_RP,(-)-Epicatechin,C15 H14 O6,Full match,No results,Full match,-0.92,290.07877,291.08605,10.382,0,1,,,,98.8,C09727,,DDA for preferred ion,[M+H]+1
10.502_291.08611_RP,[Similar to: (-)-Epicatechin],C15 H14 O6,Full match,Invalid mass,Full match,-0.72,290.07883,291.08611,10.502,2,1,,,64.9,97,,,DDA for preferred ion,[M+H]+1
7.676_307.08103_RP,(-)-Epigallocatechin,C15 H14 O7,Full match,Full match,No results,-0.63,306.07376,307.08103,7.676,2,0,99.3,90.3,,,C12136,Reference-6131,DDA for preferred ion,[M+H]+1
9.319_291.08599_RP,(+)-Catechin,C15 H14 O6,Full match,Invalid mass,Full match,-1.13,290.07871,291.08599,9.319,2,1,,,73.1,98.6,,,DDA for preferred ion,[M+H]+1
1.391_252.14395_RP,(+/-)-threo-4-Fluoromethylphenidate,C14 H18 F N O2,No match,Invalid mass,No results,17.98,251.13667,252.14395,1.391,1,0,64.8,8.2,,,,,DDA for preferred ion,[M+H]+1
9.625_191.0701_RP,"(2E)-3-(3,4-dimethoxyphenyl)prop-2-enoic acid",C11 H12 O4,No match,Invalid mass,No results,-86559.44,190.06283,191.0701,9.625,1,0,61.3,65.4,,,,,DDA for preferred ion,[M+H]+1
16.249_199.13271_RP,"(3S,4R)-3-(1-hydroxyhexyl)-4-(hydroxymethyl)oxolan-2-one",C11 H20 O4,No match,Invalid mass,No results,-83330.47,198.12543,199.13271,16.249,2,0,64.9,66.4,,,,,DDA for preferred ion,[M+H]+1
11.866_189.05208_RP,"1-(2-furyl)pentane-1,4-dione",C9 H10 O3,No match,Invalid mass,No results,132370.28,188.0448,189.05208,11.866,1,0,62.8,65.8,,,,,DDA for preferred ion,[M+H]+1
1.19_266.15954_RP,"1-adamantyl(1,4-thiazinan-4-yl)methanone",C15 H23 N O S,No match,Invalid mass,No results,8.41,265.15226,266.15954,1.19,1,0,73.3,8.7,,,,,DDA for preferred ion,[M+H]+1
1.129_266.1596_RP,"1-adamantyl(1,4-thiazinan-4-yl)methanone",C15 H23 N O S,No match,Invalid mass,No results,8.61,265.15232,266.1596,1.129,1,0,73.3,8.7,,,,,DDA for preferred ion,[M+H]+1
11.629_240.14933_RP,"1,3-di-o-Tolylguanidine",C15 H17 N3,Full match,Full match,No results,-0.83,239.14205,240.14933,11.629,1,0,97.9,81.7,,,,Reference-2640,DDA for preferred ion,[M+H]+1
0.96_72.08071_RP,"1,4-Diaminobutane",C4 H12 N2,No match,No results,Invalid mass,-193264.62,71.07343,72.08071,0.96,0,1,,,,74.3,C00134,,DDA for preferred ion,[M+H]+1
12.879_216.19564_RP,12-Aminododecanoic acid,C12 H25 N O2,Full match,Full match,No results,-0.77,215.18836,216.19564,12.879,1,0,89.2,81.8,,,,Reference-635,DDA for preferred ion,[M+H]+1
12.895_216.19566_RP,12-Aminododecanoic acid,C12 H25 N O2,No match,Invalid mass,No results,-79124.58,198.16183,216.19566,12.895,1,0,89.2,81.8,,,,,DDA for preferred ion,[M+NH4]+1
