Compound_ID,Norm. Area: RP_Pos_1D0.raw (F1),Norm. Area: RP_Pos_2D0.raw (F2),Norm. Area: RP_Pos_3D0.raw (F3),Norm. Area: RP_Pos_13D0.raw (F10),Norm. Area: RP_Pos_14D0.raw (F11),Norm. Area: RP_Pos_15D0.raw (F12),Norm. Area: RP_Pos_25D14.raw (F19),Norm. Area: RP_Pos_26D14.raw (F20),Norm. Area: RP_Pos_27D14.raw (F21),Norm. Area: RP_Pos_37D14.raw (F28),Norm. Area: RP_Pos_38D14.raw (F29),Norm. Area: RP_Pos_39D14.raw (F30),Norm. Area: RP_Pos_49D21.raw (F37),Norm. Area: RP_Pos_50D21.raw (F38),Norm. Area: RP_Pos_51D21.raw (F39),Norm. Area: RP_Pos_61D35.raw (F46),Norm. Area: RP_Pos_62D28.raw (F47),Norm. Area: RP_Pos_63D28.raw (F48),Norm. Area: RP_Pos_85D28.raw (F64),Norm. Area: RP_Pos_86D28.raw (F65),Norm. Area: RP_Pos_87D28.raw (F66),Norm. Area: RP_Pos_97D42.raw (F73),Norm. Area: RP_Pos_98D42.raw (F74),Norm. Area: RP_Pos_99D42.raw (F75),Norm. Area: RP_Pos_121D7.raw (F91),Norm. Area: RP_Pos_122D7.raw (F92),Norm. Area: RP_Pos_123D7.raw (F93),Norm. Area: RP_Pos_133D7.raw (F100),Norm. Area: RP_Pos_134D7.raw (F101),Norm. Area: RP_Pos_135D7.raw (F102),Norm. Area: RP_Pos_Blank_MS1.raw (F109),Norm. Area: RP_Pos_Blank1_20230109161140.raw (F110),Norm. Area: RP_Pos_Blank2.raw (F111),Norm. Area: RP_Pos_Blank2_MS1.raw (F112),Norm. Area: RP_Pos_Pooled_QC1_MS1.raw (F114),Norm. Area: RP_Pos_Pooled_QC2_MS1.raw (F115),Norm. Area: RP_Pos_Pooled_QC3_MS1.raw (F116),Norm. Area: RP_Pos_Pooled_QC4_MS1.raw (F117),Norm. Area: RP_Pos_Pooled_QC5_MS1.raw (F118),Norm. Area: RP_Pos_Pooled_QC6_MS1.raw (F119),Norm. Area: RP_Pos_Pooled_QC7_MS1.raw (F120),Norm. Area: RP_Pos_Pooled_QC8_MS1.raw (F121),Norm. Area: RP_Pos_Pooled_QC9_MS1.raw (F122),Norm. Area: RP_Pos_Pooled_QC10_MS1.raw (F123),Norm. Area: RP_Pos_Pooled_QC11_MS1.raw (F124)
10.436_131.04897_RP,2200271.054,1734990.845,1548445.453,1883357.548,2198719.43,2239149.753,2973476.451,3126296.994,1871639.129,1067890.182,1006143.809,1172120.705,2755575.734,2883877.285,3065408.459,3426564.63,3492467.185,3492928.73,1657253.691,1520953.752,1390038.481,2230938.717,1810947.854,2179725.665,2793578.868,2638518.9,2655454.014,1140237.436,1076759.222,867693.6194,112963.8299,364864.654,151604.3909,62101.99835,42368109.14,19468830.18,36706033.49,36009212.46,36957831.78,35929932.67,33662362.66,31513830.97,33890832.66,32364543.39,33605261.45
9.317_123.04221_RP,1995086.459,1714905.311,1331306.884,1639095.321,2043916.383,1993647.646,2838569.912,2974271.632,2082398.981,1046489.63,928958.9693,935669.5046,2761845.352,2751257.838,2806655.713,3277653.99,3539467.216,3164279.803,1593370.111,1421376.094,1243777.102,2112044.256,1781845.776,2036721.499,2795224.233,2743853.132,2688580.32,1168125.549,1031447.332,867114.0925,101468.663,126415.2658,99134.5591,52618.69338,33307557.6,29084966.32,28130009.16,28589027.12,26818012.97,28533444.98,29472313.62,28277878.3,30023201.35,28897888.28,30619149.11
10.435_147.04393_RP,1754965.352,1386127.252,1238847.875,1518529.306,1782783.748,1818552.091,2397382.219,2581138.142,1547809.699,896306.9118,845873.8175,987036.2192,2355157.958,2468885.851,2628628.844,2972516.883,3034706.072,3040128.836,1491054.299,1370699.631,1254800.147,2044280.899,1662198.527,2004020.546,2646803.69,2504083.772,2524379.604,1109756.041,1049740.09,809759.4237,87927.97311,347362.8728,119933.5577,59935.87035,35117292.59,32061675.89,29082745.18,28669806.18,33595639.49,33115338.37,31855234.42,33058028.13,31344733.78,31811525.6,30374789.83
13.944_193.04938_RP,2976483.057,2325652.555,2036478.789,2563238.757,3278264.981,3137944.793,4115115.383,6605924.552,4597384.998,4399562.038,2302727.249,2027966.634,7447944.133,6277437.737,10360675.26,6135477.695,6038867.745,8822209.093,5413460.547,4127600.326,2587938.697,4364645.66,7560341.223,6261379.644,6470403.043,5630175.878,8832554.188,4218825.93,2234875.383,3687201.169,152606.8998,301630.1258,254165.0336,168476.8817,22920978.72,18963550.04,19351149.35,18943435.19,21087871.16,20227607.95,20749289.29,18447297.32,20491339.72,17992080.43,21621747.8
15.009_301.07042_RP,4017133.96,2919607.906,2606291.294,3057767.11,6622035.172,4509539.319,4805804.048,5068447.636,5262148.173,1911620.552,1667576.464,2024885.808,4562066.572,4729853.013,5283515.401,5738997.203,5914108.375,5339574.752,3011534.942,4352978.084,2248713.755,5662609.711,2796086.749,36376586.46,3874852.773,3756234.287,3882006.241,3169279.214,30905123.81,85111847.97,181667.9377,567124.412,196343.7498,118922.982,2925843.113,3106308.998,3163917.782,2067098.785,2735305.959,2273273.203,2624782.844,1639120.456,3510795.374,3505656.023,2542784.923
1.299_127.0388_RP,3064158447,3699065585,3307375251,681199011.1,675607803.4,669455229.7,24202547.82,25805144.46,27931917.54,488739937.6,871780108.5,480824288.3,580318549,424764594.9,53007769.16,76817565.93,85758846.72,23964539.19,317434787.9,274874277.4,392155312.2,73730712.81,278730298.3,106910251.5,1575056024,125137889,91216245.58,420065581.3,99163839.99,433369362.6,856550.2784,988659.0218,698384.1702,829844.2292,248010903.6,216246915.8,223069554.9,214437427.4,220455873.4,208320470.5,219531757,247443081.9,220053281.7,218466561.7,223295544.2
1.237_87.04395_RP,478025725.7,441566023.5,426470791.5,521345090.2,454867070.9,510208840.1,54465965.57,42206142.84,40136751.14,159672407.9,261535051.8,226745180.8,36458489.05,33978260.02,48160612.19,38566162.55,69456804.98,37381038.6,196440124.6,217845101.9,228027381.7,181212637.4,38418206.64,52575323.54,47521208.32,44973261.34,41082212.54,253847524,240849911.5,190588461.9,1046254.797,1977396.448,1716877.638,797196.4954,63067634.6,54996486.4,54245041.72,52517464.01,54257013.34,61196090.13,58220839.04,59120637.98,54834404.96,52872659.18,57342919.49
1.264_198.09698_RP,8164415416,22182863293,7782412358,6600523573,6326596807,6576316167,74160076.57,35288325.62,61228418.85,1397719606,5853940880,4905307979,71079625.12,97116598.43,91562316.44,297315957,198998670.2,126241892.7,1881766635,1978762766,1061802239,230556933.5,2489525990,106789360.6,159913068.9,161225545.6,134755768.2,5460945812,5932276813,5489264636,39553.37969,40576.98824,42495.47132,774609.9426,2114903611,1862684249,1839552008,1833555296,1929802082,1794334640,1937065102,1904490915,1891841147,1938032122,1898885692
2.283_189.12323_RP,189741493.1,255348928.7,287670238.2,29680538.7,22656431.27,22247054.96,519402140.9,614699114.9,575351971,20392976.62,24727393.13,19604859.61,157393597.2,190246865.1,211220837,66239444.61,35229019.83,272621189.7,16361284.97,16858569.87,22295536.23,69760565.95,41297552.01,54302010.03,760967195.6,806632893.5,619276626.8,20274581.56,19332625.48,17822741.69,40336.77249,59314.58761,61501.5932,41487.24459,29078393.71,32703674.78,33051787.7,33747253.06,32831830.14,33789078.02,32795569.4,33379127.57,31048074.29,31102226.17,30851220.7
11.355_273.0756_RP,2424721.884,1152801.785,1681807.067,2135804.019,2611796.596,2538207.517,3263892.165,3512330.807,2787881.141,1215295.45,1182366.609,1371525.668,3234529.384,3265366.415,3476826.047,3967823.729,3979220.327,3818654.597,2036205.26,1810397.304,1564146.043,2472915.558,2077633.329,2400098.915,2986483.595,2777658.457,2946140.593,1319114.89,1188868.33,961875.0231,119923.178,240942.1299,164300.8206,77191.40208,16854864.25,15026277.93,14183468.94,14152565.49,14039774.09,14496026.24,17067955.7,14168793.05,14771985.9,14891943.82,15398398.6
4.475_121.06465_RP,81735074.56,95829263.1,46493826.62,554968449.2,507082891.8,548710747.1,261534265.5,235975420.6,332192780.6,238449464.9,305025873.5,465799013,535833351.5,545676475.7,492610190.1,96150538.36,92170814.36,101681186.4,171407007.2,302641369,253543907.2,490269561.2,322984234.3,411535651.1,122080636.4,135258348.9,122621160.8,388145157.7,268764558.7,272077291.3,3017817.346,1468913.635,4039770.091,1899845.644,43587918.1,61503144.37,50451067.56,57692283.79,48581791.7,57306627.54,46957534.64,55059332.61,54359851.63,50881978.56,50439693.94
2.371_460.20219_RP,2018253.817,1724533.018,1427875.261,1460395.207,1703953.866,1700505.872,2406529.145,2670897.224,2831604.951,964193.9463,886484.444,1067351.685,2145133.352,2170824.801,2361440.487,2552814.027,2710973.233,2516011.241,1069654.855,1009900.55,900010.0203,1521045.39,1295554.452,1662451.634,2187173.61,2219862.598,2283471.412,1020391.085,959075.95,795883.1202,99119.68039,149061.5588,150379.419,75734.41991,13011205.02,8903177.915,6676593.067,4067552.804,8488146.31,4636603.279,7072476.738,8191391.414,8840190.87,8955517.856,8796728.674
3.186_305.08409_RP,806291.3481,710318.3304,578598.8166,3907730.943,2577707.145,2745573.669,1194758.145,1253358.823,1309414.301,6172137.459,5743179.907,6505671.785,1052892.154,1091433.376,1205476.017,1277997.598,1390569.016,1319575.712,1453138.489,3555847.705,11824319.79,737953.325,78539026.48,106954561.9,1241596.775,1193221.36,1319675.989,4986999.685,16117778.55,21390445.92,43546.73577,64447.36226,65276.35182,43363.36448,13912238.52,19067432.96,22562606.92,24628299.28,20889533.95,24627889.81,20589990.56,20788797.55,19342921.6,17947159.1,18288263.06
2.491_305.08405_RP,1085741.311,961950.9221,775501.491,875366.368,2987667.184,2973922.844,1430625.095,1554179.577,1626878.334,7909744.826,797576.7344,2258887.269,1320945.97,1352914.797,1537913.043,1594691.86,1702784.181,1628301.666,1957305.768,1207901.113,10766240.95,1034514.395,19563740.37,45586584,1574074.49,1523908.61,1594617.685,942659.3508,17009550.11,18455764.18,54556.84366,83575.13527,83735.7931,55144.21348,9689837.123,10285752.8,11834128.45,14575838.47,14163722.31,14615077.12,11841252.47,13184809.88,9955438.923,11967928.62,10301105.24
1.695_305.08395_RP,1145536.262,1912594.518,1702551.159,11013138.14,11607024.97,9059340.694,1533478.437,1689572.394,1713891.808,14310367.4,19952878.38,27738699.43,1450973.042,1491020.416,1622626.65,1775509.625,1820542.765,1825567.106,3845745.016,9434079.954,10966058.05,1546624.137,45784500.92,9394674.248,1666209.237,1662231.967,1685181.163,26393496.95,38398640.98,28939851.59,56665.14085,82936.91784,82922.59682,60965.30172,10563680,12311751.3,15365744.83,15036804.58,13524222.99,14738885.54,15571979.65,13049276.27,11596022.22,14289494.77,11413031.15
