Sample_Name_Kelly,Filename,Site,Day
STM_0716_E_M_E001,RP_Pos_1D0,fen,D0
STM_0716_E_M_E002,RP_Pos_2D0,fen,D0
STM_0716_E_M_E003,RP_Pos_3D0,fen,D0
STM_0716_S_M_E013,RP_Pos_13D0,bog,D0
STM_0716_S_M_E014,RP_Pos_14D0,bog,D0
STM_0716_S_M_E015,RP_Pos_15D0,bog,D0
STM_0716_E_M_E025,RP_Pos_25D14,fen,D14
STM_0716_E_M_E026,RP_Pos_26D14,fen,D14
STM_0716_E_M_E027,RP_Pos_27D14,fen,D14
STM_0716_S_M_E037,RP_Pos_37D14,bog,D14
STM_0716_S_M_E038,RP_Pos_38D14,bog,D14
STM_0716_S_M_E039,RP_Pos_39D14,bog,D14
STM_0716_E_M_E049,RP_Pos_49D21,fen,D21
STM_0716_E_M_E050,RP_Pos_50D21,fen,D21
STM_0716_E_M_E051,RP_Pos_51D21,fen,D21
STM_0716_E_M_E061,RP_Pos_61D35,fen,D35
STM_0716_E_M_E062,RP_Pos_62D28,fen,D28
STM_0716_E_M_E063,RP_Pos_63D28,fen,D28
STM_0716_S_M_E085,RP_Pos_85D28,bog,D28
STM_0716_S_M_E086,RP_Pos_86D28,bog,D28
STM_0716_S_M_E087,RP_Pos_87D28,bog,D28
STM_0716_S_M_E097,RP_Pos_97D42,bog,D42
STM_0716_S_M_E098,RP_Pos_98D42,bog,D42
STM_0716_S_M_E099,RP_Pos_99D42,bog,D42
STM_0716_E_M_E121,RP_Pos_121D7,fen,D7
STM_0716_E_M_E122,RP_Pos_122D7,fen,D7
STM_0716_E_M_E123,RP_Pos_123D7,fen,D7
STM_0716_S_M_E133,RP_Pos_133D7,bog,D7
STM_0716_S_M_E134,RP_Pos_134D7,bog,D7
STM_0716_S_M_E135,RP_Pos_135D7,bog,D7
