Mass,C,H,O,N,S,P,NeutralMass,Error_ppm,MolecularFormula,El_comp,Class,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Bog_D0_A,Bog_D0_B,Bog_D0_C,Bog_D28_A,Bog_D28_B,Bog_D28_C,Fen_D0_A,Fen_D0_B,Fen_D0_C,Fen_D28_A,Fen_D28_B,Fen_D28_C
165.019308,8.0,6.0,4.0,0.0,0.0,0.0,166.0265845,0.145844836,C8H6O4,CHO,Cond. HC,0.5,0.75,0.25,53.175,6.0,2.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
165.0557325,9.0,10.0,3.0,0.0,0.0,0.0,166.063009,-0.088999833,C9H10O3,CHO,Lignin,0.3333333333333333,1.1111111111111112,-0.44444444444444464,72.96666666666667,5.0,2.0,0.3333333333333333,0.4666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
173.081914,8.0,14.0,4.0,0.0,0.0,0.0,174.0891905,0.106100327,C8H14O4,CHO,Protein,0.5,1.75,-0.75,81.675,2.0,-2.0,-0.5,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
177.0556485,10.0,10.0,3.0,0.0,0.0,0.0,178.062925,0.388741339,C10H10O3,CHO,Lignin,0.3,1.0,-0.40000000000000036,71.7,6.0,3.0,0.42857142857142855,0.5294117647058824,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
179.035033,9.0,8.0,4.0,0.0,0.0,0.0,180.0423095,-0.281720892,C9H8O4,CHO,Lignin,0.4444444444444444,0.8888888888888888,0.0,60.3,6.0,2.0,0.4,0.5714285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
187.0611184,8.0,12.0,5.0,0.0,0.0,0.0,188.0683949,0.418086303,C8H12O5,CHO,Amino sugar,0.625,1.5,-0.25,67.425,3.0,-2.0,-0.6666666666666666,0.09090909090909091,-2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
187.0975,9.0,16.0,4.0,0.0,0.0,0.0,188.1047765,0.438772058,C9H16O4,CHO,Protein,0.4444444444444444,1.7777777777777777,-0.8888888888888893,85.63333333333334,2.0,-2.0,-0.4,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
189.0767818,8.0,14.0,5.0,0.0,0.0,0.0,190.0840582,0.343758549,C8H14O5,CHO,Amino sugar,0.625,1.75,-0.5,74.55,2.0,-3.0,-1.0,0.0,-3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
193.050617,10.0,10.0,4.0,0.0,0.0,0.0,194.0578935,0.079061561,C10H10O4,CHO,Lignin,0.4,1.0,-0.20000000000000018,66.0,6.0,2.0,0.3333333333333333,0.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
193.087023,11.0,14.0,3.0,0.0,0.0,0.0,194.0942995,-0.026539574,C11H14O3,CHO,Lignin,0.2727272727272727,1.2727272727272727,-0.7272727272727275,81.02727272727273,5.0,2.0,0.25,0.3684210526315789,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
195.0298255,9.0,8.0,5.0,0.0,0.0,0.0,196.037102,0.364218912,C9H8O5,CHO,Lignin,0.5555555555555556,0.8888888888888888,0.22222222222222232,53.96666666666666,6.0,,0.25,0.5384615384615384,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
199.0611224,9.0,12.0,5.0,0.0,0.0,0.0,200.0683989,0.372873722,C9H12O5,CHO,Lignin,0.5555555555555556,1.3333333333333333,-0.22222222222222232,66.63333333333333,4.0,-1.0,-0.25,0.23076923076923078,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
199.0975138,10.0,16.0,4.0,0.0,0.0,0.0,200.1047903,0.343329045,C10H16O4,CHO,Protein,0.4,1.6,-0.7999999999999998,83.1,3.0,-1.0,-0.16666666666666666,0.125,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
201.0768051,9.0,14.0,5.0,0.0,0.0,0.0,202.0840816,0.207587666,C9H14O5,CHO,Amino sugar,0.5555555555555556,1.5555555555555556,-0.44444444444444464,72.96666666666667,3.0,-2.0,-0.5,0.07692307692307693,-2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
201.1131807,10.0,18.0,4.0,0.0,0.0,0.0,202.1204572,0.256703527,C10H18O4,CHO,Protein,0.4,1.8,-1.0,88.8,2.0,-2.0,-0.3333333333333333,0.0,-2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
203.056088,8.0,12.0,6.0,0.0,0.0,0.0,204.0633645,0.115899883,C8H12O6,CHO,Carbohydrate,0.75,1.5,0.0,60.3,3.0,-3.0,-1.5,0.0,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
203.092455,9.0,16.0,5.0,0.0,0.0,0.0,204.0997315,0.20655206,C9H16O5,CHO,Amino sugar,0.5555555555555556,1.7777777777777777,-0.666666666666667,79.30000000000001,2.0,-3.0,-0.75,0.0,-3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
205.1597753,14.0,22.0,1.0,0.0,0.0,0.0,206.1670518,0.065617113,C14H22O,CHO,Lipid,0.07142857142857142,1.5714285714285714,-1.4285714285714288,101.01428571428572,4.0,3.0,0.23076923076923078,0.25925925925925924,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
207.0298683,10.0,8.0,5.0,0.0,0.0,0.0,208.0371448,0.137317241,C10H8O5,CHO,Cond. HC,0.5,0.8,0.20000000000000018,54.599999999999994,7.0,2.0,0.4,0.6,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
209.0090955,9.0,6.0,6.0,0.0,0.0,0.0,210.016372,0.314062753,C9H6O6,CHO,Cond. HC,0.6666666666666666,0.6666666666666666,0.6666666666666665,41.3,7.0,,0.3333333333333333,0.6666666666666666,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
209.0819052,11.0,14.0,4.0,0.0,0.0,0.0,210.0891817,0.129806398,C11H14O4,CHO,Lignin,0.36363636363636365,1.2727272727272727,-0.5454545454545459,75.84545454545456,5.0,,0.14285714285714285,0.3333333333333333,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
211.0611818,10.0,12.0,5.0,0.0,0.0,0.0,212.0684583,0.071653686,C10H12O5,CHO,Lignin,0.5,1.2,-0.20000000000000018,66.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
211.0974787,11.0,16.0,4.0,0.0,0.0,0.0,212.1047552,0.489479051,C11H16O4,CHO,Lignin,0.36363636363636365,1.4545454545454546,-0.7272727272727275,81.02727272727273,4.0,0.0,0.0,0.2222222222222222,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
211.1339973,12.0,20.0,3.0,0.0,0.0,0.0,212.1412738,-0.13807739,C12H20O3,CHO,Lipid,0.25,1.6666666666666667,-1.166666666666667,93.55000000000001,3.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
213.0403918,9.0,10.0,6.0,0.0,0.0,0.0,214.0476682,0.326267138,C9H10O6,CHO,Tannin,0.6666666666666666,1.1111111111111112,0.22222222222222232,53.96666666666666,5.0,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
215.1288377,11.0,20.0,4.0,0.0,0.0,0.0,216.1361142,0.207967254,C11H20O4,CHO,Protein,0.36363636363636365,1.8181818181818181,-1.0909090909090908,91.39090909090909,2.0,-2.0,-0.2857142857142857,0.0,-2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
217.0716587,9.0,14.0,6.0,0.0,0.0,0.0,218.0789351,0.472528231,C9H14O6,CHO,Amino sugar,0.6666666666666666,1.5555555555555556,-0.22222222222222232,66.63333333333333,3.0,-3.0,-1.0,0.0,-3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
217.1081703,10.0,18.0,5.0,0.0,0.0,0.0,218.1154468,-0.105961837,C10H18O5,CHO,Protein,0.5,1.8,-0.7999999999999998,83.1,2.0,-3.0,-0.6,0.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
217.1444357,11.0,22.0,4.0,0.0,0.0,0.0,218.1517122,0.44470627,C11H22O4,CHO,Protein,0.36363636363636365,2.0,-1.2727272727272725,96.57272727272726,,-3.0,-0.42857142857142855,0.0,-3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
219.0873369,9.0,16.0,6.0,0.0,0.0,0.0,220.0946133,0.340408954,C9H16O6,CHO,Amino sugar,0.6666666666666666,1.7777777777777777,-0.44444444444444464,72.96666666666667,2.0,-4.0,-1.3333333333333333,0.0,-4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
221.0090953,10.0,6.0,6.0,0.0,0.0,0.0,222.0163718,0.297838336,C10H6O6,CHO,Cond. HC,0.6,0.6,0.6000000000000001,43.199999999999996,8.0,2.0,0.5,0.7142857142857143,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
221.041451,6.0,10.0,7.0,2.0,0.0,0.0,222.0487275,0.32974393,C6H10O7N2,CHON,Carbohydrate,1.1666666666666667,1.6666666666666667,1.6666666666666665,12.800000000000004,3.0,-4.0,2.0,0.0,-6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
221.0454628,11.0,10.0,5.0,0.0,0.0,0.0,222.0527392,0.379129942,C11H10O5,CHO,Lignin,0.45454545454545453,0.9090909090909091,0.0,60.3,7.0,2.0,0.3333333333333333,0.5294117647058824,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
221.0818252,12.0,14.0,4.0,0.0,0.0,0.0,222.0891016,0.483158573,C12H14O4,CHO,Lignin,0.3333333333333333,1.1666666666666667,-0.5,74.55,6.0,2.0,0.25,0.4,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
223.0247139,10.0,8.0,6.0,0.0,0.0,0.0,224.0319903,0.435943889,C10H8O6,CHO,Cond. HC,0.6,0.8,0.3999999999999999,48.9,7.0,,0.25,0.5714285714285714,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
223.0611327,11.0,12.0,5.0,0.0,0.0,0.0,224.0684091,0.287243318,C11H12O5,CHO,Lignin,0.45454545454545453,1.0909090909090908,-0.18181818181818166,65.48181818181817,6.0,,0.16666666666666666,0.4117647058823529,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
223.0741667,8.0,17.0,5.0,0.0,0.0,1.0,224.0814431,-0.370255321,C8H17O5P,CHOP,Amino sugar,0.625,2.125,-1.5,103.05,,-4.0,-2.5,0.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
223.097486,12.0,16.0,4.0,0.0,0.0,0.0,224.1047625,0.430758896,C12H16O4,CHO,Lignin,0.3333333333333333,1.3333333333333333,-0.666666666666667,79.30000000000001,5.0,,0.125,0.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
225.0040366,9.0,6.0,7.0,0.0,0.0,0.0,226.0113131,0.17468338,C9H6O7,CHO,Cond. HC,0.7777777777777778,0.6666666666666666,0.8888888888888888,34.96666666666667,7.0,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
225.0404058,10.0,10.0,6.0,0.0,0.0,0.0,226.0476823,0.246791825,C10H10O6,CHO,Lignin,0.6,1.0,0.20000000000000018,54.599999999999994,6.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
225.0768027,11.0,14.0,5.0,0.0,0.0,0.0,226.0840792,0.196293054,C11H14O5,CHO,Lignin,0.45454545454545453,1.2727272727272727,-0.3636363636363633,70.66363636363636,5.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
225.1131549,12.0,18.0,4.0,0.0,0.0,0.0,226.1204313,0.343729753,C12H18O4,CHO,Protein,0.3333333333333333,1.5,-0.833333333333333,84.04999999999998,4.0,0.0,0.0,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
225.1495113,13.0,22.0,3.0,0.0,0.0,0.0,226.1567878,0.472116215,C13H22O3,CHO,Lipid,0.23076923076923078,1.6923076923076923,-1.2307692307692308,95.37692307692308,3.0,0.0,0.0,0.13043478260869565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
227.01973,9.0,8.0,7.0,0.0,0.0,0.0,228.0270065,-0.016907559,C9H8O7,CHO,Tannin,0.7777777777777778,0.8888888888888888,0.6666666666666665,41.3,6.0,-1.0,-0.5,0.45454545454545453,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
227.038339,10.0,12.0,4.0,0.0,1.0,0.0,228.0456155,0.061815352,C10H12O4S,CHOS,Lignin,0.4,1.2,-0.20000000000000018,66.0,5.0,,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
227.056052,10.0,12.0,6.0,0.0,0.0,0.0,228.0633285,0.261554194,C10H12O6,CHO,Lignin,0.6,1.2,0.0,60.3,5.0,-1.0,-0.25,0.2857142857142857,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
227.0924396,11.0,16.0,5.0,0.0,0.0,0.0,228.099716,0.252528436,C11H16O5,CHO,Lignin,0.45454545454545453,1.4545454545454546,-0.5454545454545459,75.84545454545456,4.0,-1.0,-0.16666666666666666,0.17647058823529413,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
227.1287962,12.0,20.0,4.0,0.0,0.0,0.0,228.1360727,0.378902366,C12H20O4,CHO,Protein,0.3333333333333333,1.6666666666666667,-1.0,88.8,3.0,-1.0,-0.125,0.1,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
227.2016415,14.0,28.0,2.0,0.0,0.0,0.0,228.208918,0.053355145,C14H28O2,CHO,Lipid,0.14285714285714285,2.0,-1.7142857142857144,109.15714285714286,,-1.0,-0.08333333333333333,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
229.0352875,9.0,10.0,7.0,0.0,0.0,0.0,230.042564,0.385619159,C9H10O7,CHO,Tannin,0.7777777777777778,1.1111111111111112,0.44444444444444464,47.633333333333326,5.0,-2.0,-1.0,0.2727272727272727,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
229.0539173,10.0,14.0,4.0,0.0,1.0,0.0,230.0611937,0.373426385,C10H14O4S,CHOS,Lignin,0.4,1.4,-0.40000000000000036,71.7,4.0,0.0,-0.2,0.14285714285714285,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
229.0716812,10.0,14.0,6.0,0.0,0.0,0.0,230.0789577,0.34984902,C10H14O6,CHO,Lignin,0.6,1.4,-0.20000000000000018,66.0,4.0,-2.0,-0.5,0.14285714285714285,-2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
229.1080547,11.0,18.0,5.0,0.0,0.0,0.0,230.1153312,0.402065432,C11H18O5,CHO,Protein,0.45454545454545453,1.6363636363636365,-0.7272727272727275,81.02727272727273,3.0,-2.0,-0.3333333333333333,0.058823529411764705,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
229.1444453,12.0,22.0,4.0,0.0,0.0,0.0,230.1517218,0.379869937,C12H22O4,CHO,Protein,0.3333333333333333,1.8333333333333333,-1.166666666666667,93.55000000000001,2.0,-2.0,-0.25,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
231.0509628,9.0,12.0,7.0,0.0,0.0,0.0,232.0582392,0.273737404,C9H12O7,CHO,Tannin,0.7777777777777778,1.3333333333333333,0.22222222222222232,53.96666666666666,4.0,-3.0,-1.5,0.09090909090909091,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
231.0873878,10.0,16.0,6.0,0.0,0.0,0.0,232.0946643,0.103173361,C10H16O6,CHO,Amino sugar,0.6,1.6,-0.40000000000000036,71.7,3.0,-3.0,-0.75,0.0,-3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
231.1237124,11.0,20.0,5.0,0.0,0.0,0.0,232.1309889,0.365679828,C11H20O5,CHO,Protein,0.45454545454545453,1.8181818181818181,-0.9090909090909092,86.2090909090909,2.0,-3.0,-0.5,0.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
231.160126,12.0,24.0,4.0,0.0,0.0,0.0,232.1674025,0.244616253,C12H24O4,CHO,Protein,0.3333333333333333,2.0,-1.333333333333333,98.29999999999998,,-3.0,-0.375,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
233.030277,8.0,10.0,8.0,0.0,0.0,0.0,234.0375535,0.059097011,C8H10O8,CHO,Tannin,1.0,1.25,0.75,38.925,4.0,-4.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
233.0455038,12.0,10.0,5.0,0.0,0.0,0.0,234.0527802,0.184636217,C12H10O5,CHO,Lignin,0.4166666666666667,0.8333333333333334,0.0,60.3,8.0,3.0,0.42857142857142855,0.5789473684210527,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
233.1029601,10.0,18.0,6.0,0.0,0.0,0.0,234.1102366,0.434413567,C10H18O6,CHO,Amino sugar,0.6,1.8,-0.5999999999999996,77.39999999999999,2.0,-4.0,-1.0,0.0,-4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
233.1547393,15.0,22.0,2.0,0.0,0.0,0.0,234.1620158,-0.153098329,C15H22O2,CHO,Lignin,0.13333333333333333,1.4666666666666666,-1.2000000000000002,94.5,5.0,3.0,0.23076923076923078,0.2857142857142857,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
235.0247675,11.0,8.0,6.0,0.0,0.0,0.0,236.032044,0.186510777,C11H8O6,CHO,Cond. HC,0.5454545454545454,0.7272727272727273,0.36363636363636376,49.93636363636363,8.0,2.0,0.4,0.625,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
235.0611469,12.0,12.0,5.0,0.0,0.0,0.0,236.0684233,0.21245459,C12H12O5,CHO,Lignin,0.4166666666666667,1.0,-0.16666666666666696,65.05000000000001,7.0,2.0,0.2857142857142857,0.47368421052631576,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
237.0040058,10.0,6.0,7.0,0.0,0.0,0.0,238.0112822,0.295491959,C10H6O7,CHO,Cond. HC,0.7,0.6,0.7999999999999998,37.5,8.0,,0.3333333333333333,0.6923076923076923,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
237.0404069,11.0,10.0,6.0,0.0,0.0,0.0,238.0476833,0.229910144,C11H10O6,CHO,Lignin,0.5454545454545454,0.9090909090909091,0.18181818181818166,55.11818181818182,7.0,,0.2,0.5,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
237.0768659,12.0,14.0,5.0,0.0,0.0,0.0,238.0841423,-0.078887992,C12H14O5,CHO,Lignin,0.4166666666666667,1.1666666666666667,-0.33333333333333304,69.79999999999998,6.0,,0.14285714285714285,0.3684210526315789,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
